Name,Movies,Number of Movies
United States,"['Les Évadés', 'Le Parrain', 'The Dark Knight : Le Chevalier noir', 'Le Parrain, 2ᵉ partie', '12 Hommes en colère', 'La liste de Schindler', 'Le Seigneur des anneaux : Le Retour du roi', 'Pulp Fiction', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Forrest Gump', 'Fight Club', 'Inception', 'Le Seigneur des anneaux : Les Deux Tours', ""L'Empire contre-attaque"", 'Matrix', 'Les affranchis', ""Vol au-dessus d'un nid de coucou"", 'Seven', 'La vie est belle', 'Le Silence des agneaux', 'Il faut sauver le soldat Ryan', 'La ligne verte', 'Interstellar', 'La guerre des étoiles', 'Terminator 2 : Le jugement dernier', 'Retour vers le futur', 'Psychose', 'Léon', 'Le Roi Lion', 'Gladiator', 'American History X', 'Usual Suspects', 'Les infiltrés', 'Le Prestige', 'Casablanca', 'Whiplash', 'Top Gun: Maverick', 'Les temps modernes', ""Il était une fois dans l'Ouest"", 'Fenêtre sur cour', 'Alien - Le 8ème passager', 'Les lumières de la ville', 'Memento', 'Apocalypse Now', ""Les Aventuriers de l'arche perdue"", 'Django Unchained', 'WALL·E', 'Boulevard du Crépuscule', 'Les sentiers de la gloire', 'Shining', 'Le Dictateur', 'Témoin à charge', 'Avengers: Infinity War', 'Aliens : Le Retour', 'American Beauty', ""Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !"", 'Spider-Man: New Generation', 'The Dark Knight Rises', 'Joker', 'Braveheart', 'Amadeus', 'Toy Story', 'Coco', 'Inglourious Basterds', 'Avengers: Endgame', 'Il était une fois en Amérique', 'Will Hunting', 'Toy Story 3', 'Requiem for a Dream', 'Chantons sous la pluie', 'Le Retour du Jedi', ""2001 : L'Odyssée de l'espace"", 'Eternal Sunshine of the Spotless Mind', 'Reservoir Dogs', 'Citizen Kane', 'La mort aux trousses', 'Sueurs froides', 'Orange mécanique', 'Full Metal Jacket', 'Assurance sur la mort', 'La garçonnière', 'Scarface', ""L'Arnaque"", 'Du silence et des ombres...', 'Taxi Driver', 'Là-haut', 'L.A. Confidential', 'Heat', 'Hamilton', 'Snatch - Tu braques ou tu raques', 'Piège de cristal', 'Indiana Jones et la dernière croisade', '1917', 'Spider-Man: No Way Home', 'Batman Begins', 'Dangal', 'Le Kid', ""Certains l'aiment chaud"", 'The Father', 'Ève...', 'Green Book: Sur les routes du Sud', 'Le loup de Wall Street', 'Jugement à Nuremberg', 'Impitoyable', 'Casino', 'There Will Be Blood', 'Sixième sens', ""Un homme d'exception"", 'The Truman Show', 'Everything Everywhere All at Once', 'Le Trésor de la Sierra Madre', 'Shutter Island', 'Jurassic Park', 'La Grande Évasion', 'Kill Bill: Volume I', 'No Country for Old Men', 'Le Monde de Nemo', 'Elephant Man', 'Chinatown', 'Raging Bull', 'Autant en emporte le vent', 'V pour vendetta', 'The Thing', 'Vice-versa', 'Le crime était presque parfait', 'Le pont de la rivière Kwaï', '3 Billboards: Les panneaux de la vengeance', 'Warrior', 'Gran Torino', 'Fargo', 'Prisoners', 'Million Dollar Baby', ""La ruée vers l'or"", 'Arrête-moi si tu peux', 'Blade Runner', 'Sur les quais...', 'Ben-Hur', '12 Years a Slave', 'Le mécano de la Générale', 'Before Sunrise', 'Gone Girl', 'Harry Potter et les Reliques de la Mort : partie 2', ""Voyage au bout de l'enfer"", 'The Grand Budapest hotel', 'Mr. Smith au sénat', 'Barry Lyndon', 'Sherlock Junior', 'Tu ne tueras point', 'Room', 'The Big Lebowski', 'Mad Max: Fury Road', 'Dragons', 'Monstres & Cie', 'Les Dents de la mer', 'Le Cercle des poètes disparus', 'Hôtel Rwanda', 'Rocky', 'Platoon', ""Le Mans '66"", 'Stand by Me : Compte sur moi', 'Terminator', 'Spotlight', 'Rush', 'Network - Main basse sur la TV', 'Into the Wild', 'Logan', ""Le magicien d'Oz"", 'Ratatouille', 'Un jour sans fin', 'Before Sunset', ""L'Exorciste"", 'Les Plus Belles Années de notre vie', 'Les Indestructibles', 'Jeux dangereux', 'Rebecca', 'Les raisins de la colère', 'Hatchi', 'Luke la main froide', 'Pirates des Caraïbes : La malédiction du Black Pearl', 'La Haine', 'New York - Miami', 'La mélodie du bonheur', 'Aladdin', 'Gandhi', 'La couleur des sentiments', 'La Belle et la Bête']",186
United Kingdom,"['The Dark Knight : Le Chevalier noir', 'Inception', 'Interstellar', 'Le pianiste', 'Gladiator', 'Le Prestige', 'Alien - Le 8ème passager', 'Shining', 'Aliens : Le Retour', ""Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !"", 'The Dark Knight Rises', ""2001 : L'Odyssée de l'espace"", 'Capharnaüm', ""Lawrence d'Arabie"", 'Orange mécanique', 'Full Metal Jacket', 'Snatch - Tu braques ou tu raques', '1917', 'Batman Begins', 'The Father', 'Monty Python : Sacré Graal !', 'Elephant Man', 'V pour vendetta', 'Arnaques, crimes et botanique', 'Le pont de la rivière Kwaï', '3 Billboards: Les panneaux de la vengeance', 'Trainspotting', 'Fargo', 'Le troisième homme', '12 Years a Slave', 'Harry Potter et les Reliques de la Mort : partie 2', ""Voyage au bout de l'enfer"", 'Au nom du père', 'Barry Lyndon', 'La légende de Klaus', 'Room', 'Les Nouveaux Sauvages', 'The Big Lebowski', 'Hôtel Rwanda', 'Platoon', 'Terminator', 'Rush', 'Hatchi', 'Monty Python : La Vie de Brian', 'Gandhi']",45
New Zealand,"['Le Seigneur des anneaux : Le Retour du roi', ""Le Seigneur des anneaux : La Communauté de l'anneau"", 'Le Seigneur des anneaux : Les Deux Tours']",3
Italy,"['Le Bon, la brute, le truand', 'La vie est belle', ""Il était une fois dans l'Ouest"", 'Cinéma Paradiso', 'Amadeus', 'Il était une fois en Amérique', 'Voleur de bicyclette', 'La chute', '...et pour quelques dollars de plus', 'Le salaire de la peur', 'Hôtel Rwanda', ""La bataille d'Alger""]",12
Spain,"['Le Bon, la brute, le truand', '1917', '...et pour quelques dollars de plus', 'Le labyrinthe de Pan', 'Dans ses yeux', 'La légende de Klaus', 'Les Nouveaux Sauvages']",7
West Germany,"['Le Bon, la brute, le truand', 'Le Bateau', '...et pour quelques dollars de plus']",3
Germany,"['Fight Club', 'La cité de Dieu', 'Le pianiste', 'Usual Suspects', 'La vie des autres', 'Inglourious Basterds', 'M le maudit', ""Le fabuleux destin d'Amélie Poulain"", 'Metropolis', 'La chute', 'V pour vendetta', 'Gran Torino', 'The Grand Budapest hotel']",13
Australia,"['Matrix', 'Une séparation', 'Tu ne tueras point', 'Mad Max: Fury Road', 'Mary et Max.']",5
Japan,"['Les 7 Samouraïs', 'Le voyage de Chihiro', 'Harakiri', 'Le tombeau des lucioles', 'Princesse Mononoké', 'Your Name.', ""Entre le ciel et l'enfer"", 'Vivre', 'Ran', 'Le garde du corps', 'Rashomon', 'Le château ambulant', 'Mon voisin Totoro', 'Voyage à Tokyo', 'Dersou Ouzala']",15
Brazil,['La cité de Dieu'],1
